ID,x,y
824,610435.233,9631557.639
825,610454.663,9631558.688
826,610471.503,9631559.388
827,610496.422,9631557.108
828,610550.762,9631540.899
829,610599.311,9631515.779
830,610639.491,9631490.669
831,610669.771,9631460.479
832,610696.41,9631430.399
833,610719.85,9631400.26
834,610746.64,9631378.49
835,610763.16,9631366.48
836,610775.099,9631363.43
837,610824.979,9631361.94
838,610849.269,9631361.94
839,610849.319,9631409.41
840,610821.139,9631403.77
841,610776.78,9631398.58
842,610767.98,9631400.22
843,610748.7,9631408.66
844,610739.94,9631416.999
845,610716.5,9631438.769
846,610690.86,9631469.519
847,610674.651,9631494.019
848,610644.511,9631525.828
849,610626.101,9631542.568
850,610607.681,9631557.638
851,610585.911,9631569.358
852,610540.882,9631579.518
853,610501.022,9631589.488
854,610465.183,9631594.468
855,610411.343,9631599.468
856,610359.024,9631611.928
857,610324.154,9631626.888
858,610317.414,9631633.908
859,610314.724,9631641.978
860,610316.674,9631651.818
861,610319.164,9631684.227
862,610319.164,9631891.145
863,610316.674,9631945.995
864,610306.715,9631988.375
865,610281.805,9632030.764
866,610244.435,9632101.593
867,610222.015,9632146.463
868,610213.766,9632162.223
869,610210.487,9632169.364
870,610209.556,9632171.393
871,610207.816,9632183.423
872,610209.556,9632288.572
873,610219.516,9632325.961
874,610221.787,9632329.825
875,610244.435,9632368.351
876,610261.265,9632395.811
877,610281.805,9632430.67
878,610296.745,9632468.07
879,610314.185,9632502.96
880,610324.155,9632540.359
881,610344.085,9632595.199
882,610354.045,9632650.048
883,610349.065,9632699.908
884,610341.585,9632762.237
885,610336.185,9632805.557
886,610329.245,9632809.287
887,610324.735,9632814.197
888,610322.659,9632817.585
889,610322.345,9632818.097
890,610324.344,9632835.851
891,610324.735,9632839.327
892,610323.115,9632846.466
893,610313.915,9632855.656
894,610308.165,9632860.256
895,610297.419,9632868.894
896,610294.606,9632871.156
897,610266.146,9632896.286
898,610246.056,9632919.746
899,610229.745,9632933.548
900,610224.276,9632938.176
901,610217.116,9632942.388
902,610182.157,9632962.955
903,610166.102,9632979.016
904,610154.747,9632990.375
905,610139.1,9632999.41
906,610089.978,9633027.775
907,610060.944,9633058.44
908,610045.138,9633075.135
909,610012.091,9633112.928
910,610010.258,9633115.024
911,609965.419,9633174.864
912,609924.878,9633228.958
913,609920.579,9633234.693
914,609905.91,9633243.5
915,609858.3,9633272.083
